group,A_scenario,support,n,it_median_eok,it_increase_median_pct,it_increase_p75_pct,newproj_15%(Deloitte 2020)_median_pct,newproj_15%(Deloitte 2020)_over_pct,newproj_21%(Deloitte 2023)_median_pct,newproj_21%(Deloitte 2023)_over_pct
대기업,대형·상시,지원비 가동시간만,86,204.53226854,1.3222390142751288,5.214840199326687,8.81492676183419,5.813953488372093,6.2963762584529945,4.651162790697675
대기업,대형·상시,지원비 상시,86,204.53226854,1.3222390142751288,5.214840199326687,8.81492676183419,5.813953488372093,6.2963762584529945,4.651162790697675
대기업,소형·상시,지원비 가동시간만,86,204.53226854,0.2925307553706037,1.1537257078156389,1.9502050358040246,0.0,1.393003597002875,0.0
대기업,소형·상시,지원비 상시,86,204.53226854,0.2925307553706037,1.1537257078156389,1.9502050358040246,0.0,1.393003597002875,0.0
대기업,소형·업무시간,지원비 가동시간만,86,204.53226854,0.08815995367333263,0.34769815851978153,0.5877330244888842,0.0,0.41980930320634585,0.0
대기업,소형·업무시간,지원비 상시,86,204.53226854,0.2107824346916953,0.8313146880972958,1.4052162312779684,0.0,1.0037258794842634,0.0
대기업,중형·상시,지원비 가동시간만,86,204.53226854,0.8307873452525144,3.2765810101964146,5.53858230168343,3.488372093023256,3.956130215488164,3.488372093023256
대기업,중형·상시,지원비 상시,86,204.53226854,0.8307873452525144,3.2765810101964146,5.53858230168343,3.488372093023256,3.956130215488164,3.488372093023256
대기업,중형·업무시간,지원비 가동시간만,86,204.53226854,0.2503742684322646,0.9874627701961795,1.669161789548431,0.0,1.192258421106022,0.0
대기업,중형·업무시간,지원비 상시,86,204.53226854,0.3729967494506273,1.471079299773694,2.4866449963375157,0.0,1.7761749973839396,0.0
중견-1차(2027),대형·상시,지원비 가동시간만,27,14.3297639,18.8722729758304,46.0657007722421,125.81515317220264,55.55555555555556,89.86796655157333,48.148148148148145
중견-1차(2027),대형·상시,지원비 상시,27,14.3297639,18.8722729758304,46.0657007722421,125.81515317220264,55.55555555555556,89.86796655157333,48.148148148148145
중견-1차(2027),소형·상시,지원비 가동시간만,27,14.3297639,4.1752816318208845,10.191526719522589,27.835210878805896,11.11111111111111,19.882293484861354,7.4074074074074066
중견-1차(2027),소형·상시,지원비 상시,27,14.3297639,4.1752816318208845,10.191526719522589,27.835210878805896,11.11111111111111,19.882293484861354,7.4074074074074066
중견-1차(2027),소형·업무시간,지원비 가동시간만,27,14.3297639,1.2583040534254721,3.0714190113629725,8.388693689503146,7.4074074074074066,5.99192406393082,7.4074074074074066
중견-1차(2027),소형·업무시간,지원비 상시,27,14.3297639,3.008490600462719,7.3434836362587435,20.056604003084797,7.4074074074074066,14.326145716489142,7.4074074074074066
중견-1차(2027),중형·상시,지원비 가동시간만,27,14.3297639,11.857799834371312,28.943935883444155,79.05199889580874,44.44444444444444,56.465713497006256,40.74074074074074
중견-1차(2027),중형·상시,지원비 상시,27,14.3297639,11.857799834371312,28.943935883444155,79.05199889580874,44.44444444444444,56.465713497006256,40.74074074074074
중견-1차(2027),중형·업무시간,지원비 가동시간만,27,14.3297639,3.5735835117283408,8.722829992270842,23.823890078188935,7.4074074074074066,17.01706434156353,7.4074074074074066
중견-1차(2027),중형·업무시간,지원비 상시,27,14.3297639,5.3237700587655885,12.994894617166613,35.49180039177058,18.51851851851852,25.35128599412185,7.4074074074074066
중견-2차(2028),대형·상시,지원비 가동시간만,20,17.61991404,15.395359541867002,25.064949264385746,102.63573027911335,50.0,73.3112359136524,35.0
중견-2차(2028),대형·상시,지원비 상시,20,17.61991404,15.395359541867002,25.064949264385746,102.63573027911335,50.0,73.3112359136524,35.0
