stock_code,corp_name,induty_code,wave_group,wave_group_final,report_ok,kw_CBAM,kw_배터리여권,kw_기어박스,kw_휠,kw_현가장치,kw_라디에이터,kw_유럽
104830,(주)원익머트리얼즈,20121,비대상,비대상,True,0,0,0,0,0,0,0
007210,(주)벽산,23999,비대상,비대상,True,0,0,0,0,0,0,5
161890,한국콜마(주),20423,비대상,비대상,True,0,0,0,0,0,0,11
215360,우리산업(주),303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,1,0,0,0,14
123860,(주)아나패스,2611,비대상,비대상,True,0,0,0,0,0,0,0
009470,삼화전기(주),26291,비대상,비대상,True,0,0,0,0,0,0,37
011780,금호석유화학(주),201,비대상,비대상,True,0,0,0,0,0,0,13
140520,(주)대창스틸,24122,1차(2027),1차(2027),True,0,0,0,0,0,0,1
026940,부국철강(주),2413,1차(2027),1차(2027),True,0,0,0,0,0,0,0
393890,더블유씨피(주),28202,비대상,비대상,True,0,0,0,0,0,0,12
082920,(주)비츠로셀,28201,비대상,비대상,True,0,0,0,0,0,0,17
018310,삼목에스폼(주),2511,1차(2027),1차(2027),True,0,0,0,0,0,0,0
008490,(주)서흥,2049,비대상,비대상,True,0,0,0,0,0,0,42
002070,(주)비비안,14120,비대상,비대상,True,0,0,0,0,0,0,0
155660,DSR(주),242,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,10
210540,디와이파워(주),29241,2차(2028),2차(2028),True,0,0,0,0,0,0,5
251970,펌텍코리아 주식회사,22232,비대상,비대상,True,0,0,0,0,0,0,8
377740,(주)바이오노트,213,비대상,비대상,True,0,0,0,0,0,0,14
033100,제룡전기(주),2811,2차(2028),2차(2028),True,0,0,0,0,0,0,1
015230,대창단조(주),303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,1
010040,한국내화(주),2321,비대상,비대상,True,0,0,0,0,0,0,2
049830,(주) 승일,259,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,0
006650,대한유화(주),20111,비대상,비대상,True,0,0,0,0,0,0,1
425040,티이엠씨 주식회사,20121,비대상,비대상,True,0,0,0,0,0,0,0
143160,(주)아이디스,26429,비대상,비대상,True,0,0,0,0,0,0,3
119610,(주)인터로조,271,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,13
000100,(주)유한양행,212,비대상,비대상,True,0,0,0,0,0,0,9
052330,(주)코텍,26519,비대상,비대상,True,0,0,0,0,0,0,9
