stock_code,corp_name,size_class,is_holding,wave_group_reviewed,induty_code,kisa_name,kisa_type_used,it_year,it_spend,rev_same_year,it_ratio,rev_band
058610,(주)에스피지,중견,False,2차(2028),28111,,,,,,,
177830,(주)파버나인,중소,False,비대상,2629,,,,,,,
136480,(주)하림,대기업,False,비대상,1012,주식회사 하림,의무,2025,5027513515.0,1392608677000.0,0.003610140880229486,1조~5조
099430,바이오플러스 주식회사,중소,False,비대상,211,,,,,,,
083500,에프엔에스테크(주),중소,False,비대상,29272,,,,,,,
003200,일신방직(주),중견,False,비대상,13101,일신방직주식회사,자율,2025,365793043.0,288639066004.0,0.0012673026145218014,3천억 미만
204020,(주)그리티,중견,False,비대상,14120,,,,,,,
002310,아세아제지(주),중견,False,비대상,172,아세아제지,의무,2025,758860829.0,485295773072.0,0.0015637078893069466,3천억~5천억
051370,(주)인터플렉스,대기업,False,비대상,2622,,,,,,,
122640,(주)예스티,중소,False,비대상,29271,,,,,,,
036810,(주)에프에스티,중견,False,비대상,2629,,,,,,,
196700,(주)웹스,중소,False,비대상,20203,,,,,,,
252500,(주)세화피앤씨,중소,False,비대상,204,,,,,,,
053610,(주)프로텍,중견,False,비대상,29271,,,,,,,
120240,대정화금(주),중소,False,비대상,201,,,,,,,
243840,신흥에스이씨(주),중견,False,비대상,28202,,,,,,,
060720,(주)케이에이치바텍,중소,False,비대상,2629,,,,,,,
278280,(주)천보,중견,False,비대상,201,,,,,,,
003350,(주)한국화장품제조,중견,False,비대상,20423,,,,,,,
376290,씨유테크 주식회사,중소,False,비대상,26224,,,,,,,
094970,제이엠티(주),중소,False,비대상,2629,,,,,,,
025320,(주)시노펙스,중견,False,비대상,2629,,,,,,,
039440,(주)에스티아이,중견,False,비대상,29271,(주)에스티아이,의무,2025,2150356698.0,306617024786.0,0.007013167972329057,3천억~5천억
254120,(주)자비스,중소,False,2차 후보(확인 필요),292,,,,,,,
140670,알에스오토메이션(주),중소,False,비대상,262,,,,,,,
010820,퍼스텍(주),중견,False,비대상,252,,,,,,,
004430,송원산업(주),중견,False,비대상,20499,송원산업(주),의무,2025,3908411508.0,842453000000.0,0.004639322915343645,5천억~1조
093190,(주)빅솔론,중소,False,비대상,263,,,,,,,
001550,(주)조비,중소,False,1차(2027),20312,,,,,,,
347770,주식회사 핌스,중소,False,비대상,26212,,,,,,,
005030,부산주공(주),중견,False,2차 후보(확인 필요),30310,,,,,,,
025540,한국단자공업(주),중견,False,비대상,2812,한국단자공업(주),의무,2025,5971532067.0,1170686046000.0,0.005100882587097993,1조~5조
361390,주식회사 제노코,중소,False,비대상,26429,,,,,,,
155650,와이엠씨(주),중견,False,비대상,262,,,,,,,
365900,(주)브이씨,중소,False,비대상,3330,,,,,,,
037030,주식회사 파워넷,중견,False,2차(2028),2811,,,,,,,
