corp_code,corp_name,stock_code,corp_cls,induty_code,jurir_no,bizr_no,est_dt,acc_mt,adres,bsns_year,rcept_no,cfs_rev_t,cfs_rev_t1,cfs_rev_t2,cfs_assets_t,cfs_rev_3y_avg,ofs_rev_t,ofs_rev_t1,ofs_rev_t2,ofs_assets_t,ofs_rev_3y_avg,rev_source
00351630,(주)세코닉스,053450,K,273,1158110006449,1278112192,19881224,12,경기도 동두천시  평화로2862번길 28,2025,20260320000344,434869078123.0,462708965937.0,502361137353.0,304885100741.0,466646393804.0,354904671184.0,381745257643.0,425061996686.0,252454062593.0,387237308504.0,주요계정
00867098,(주)티로보틱스,117730,K,29271,1311110126936,1298178206,20041027,12,경기도 오산시 가장산업서북로 103-37 (지곶동),2025,20260319001292,43812661900.0,60705396702.0,66716568313.0,89361141487.0,57078208972.0,39059865094.0,57500898744.0,64123233003.0,89598933718.0,53561332280.0,주요계정
00601191,(주)하나기술,299030,K,29299,1348110080937,1248607579,20030318,12,경기도 용인시 처인구 남사면 전나무골길2번길 56-7,2025,20260814003680,93832555999.0,94219106206.0,119948030553.0,263293478189.0,102666564253.0,92793492432.0,93262833711.0,118272731539.0,261860937708.0,101443019227.0,주요계정
00148939,조광피혁(주),004700,Y,15110,1501110001036,3158107132,19660803,12,"충청북도 청주시 흥덕구 공단로126번길 97 (송정동, 공단2브럭)",2025,20260319000650,,,,,,97880064978.0,90248381146.0,126567009199.0,661996431061.0,104898485108.0,주요계정
00438036,팅크웨어(주),084730,K,264,1101111394420,2298126731,19970326,12,경기도 성남시 분당구 판교역로 240 삼환하이펙스 A동 9층,2025,20260320001267,536585727369.0,489824351259.0,421393415248.0,369868460903.0,482601164625.0,188582252198.0,169574158275.0,198388927873.0,275986096850.0,185515112782.0,주요계정
01255652,(주)레이크머티리얼즈,281740,K,204,1101116525723,8938600629,20170922,12,세종특별자치시  전의면 산단길 22-144 -,2025,20260318001193,141233860094.0,138725778383.0,117789811143.0,355838236186.0,132583149873.0,141068662024.0,138653101693.0,117475923146.0,316634147008.0,132399228954.0,주요계정
00664181,(주)인텔리안테크놀로지스,189300,K,26429,1101112948086,2118745307,20040205,12,경기도 평택시 진위면 진위산단로 18-7,2025,20260320001337,319628351040.0,257769448883.0,305042847051.0,496458172495.0,294146882325.0,287809917857.0,212676160017.0,264598994251.0,476338945296.0,255028357375.0,주요계정
01058101,(주)라파스,214260,K,20423,1101113430040,1058690704,20060330,12,서울특별시 강서구 마곡중앙8로1길 62 라파스  ;,2025,20260320001360,30987892335.0,27215365204.0,27935888378.0,75077917566.0,28713048639.0,19523736750.0,20088927341.0,20095074739.0,62310989727.0,19902579610.0,주요계정
01213586,아이디피(주),332370,K,26329,1101113356410,1138602012,20051208,12,"서울특별시 구로구 디지털로33길 50, 601",2025,20260311003940,49083311500.0,46525695543.0,36366131477.0,74404303598.0,43991712840.0,40634596241.0,41494525264.0,33333716638.0,73079678340.0,38487612714.0,주요계정
01141942,(주)액트로,290740,K,262,1352110033862,1388178118,20120904,12,경기도 용인시 기흥구 흥덕1로 13 제타워동 35층 제에이3504호,2025,20260319000810,244938933154.0,203084124613.0,156846101861.0,123668697714.0,201623053209.0,74018464048.0,32816106416.0,34281813099.0,84520251097.0,47038794521.0,주요계정
