stock_code,corp_name,wave_group,keyword,context
001820,삼화콘덴서공업(주),비대상,유럽,"정보는 다음과 같습니다. (단위 : 천원) 구분 당기 전기 한국 113,964,694 119,698,427 유럽 4,924,380 8,325,790 미주 39,698,833 33,741,473 아시아 71,296,947"
001820,삼화콘덴서공업(주),비대상,유럽," 60%이상 차지합니다. 가전제품의 Life-Cycle의 단기화에 대응하기 위한 생산 체계를 갖추고 미주, 유럽, 동남아, 중화권 등 주요 거점별 맞춤형 판로 확대를 통해 특정 국가에 대한 의존도를 낮추고 수출 판로의 "
001820,삼화콘덴서공업(주),비대상,유럽,"B손해보험현대해상 33. 영업부문 (연결) 지역에 대한 공시 지역에 대한 공시 당기 (단위 : 천원) 한국 유럽 미주 아시아 기타 지역 합계 수익(매출액) 114,801,690 23,583,110 39,784,548 9"
049800,(주)우진플라임,2차 후보(확인 필요),유럽,"하였습니다. 말레이시아, 필리핀, 태국, 인도네시아, 베트남 등 동남아시아와 러시아, 폴란드, 터키 등의 동유럽, 인도 및 중남미에는 직영 판매사무소를 설립하여 세계 일류 사출성형기 전문기업으로 성장하기 위해 매진하고 "
049800,(주)우진플라임,2차 후보(확인 필요),유럽,"에서 활용 되고 있으며 고부가가치 성형산업으로 주목 받고 있음. ■ DL-A5 기종 ① DL-A5 시리즈는 유럽의 기술을 담은 고효율 투플레이튼 직압식 사출성형기. ② 포지션 센서와 최적화된 이송 실린더 구조, 새로운 "
049800,(주)우진플라임,2차 후보(확인 필요),유럽,"공시 당기 (단위 : 천원) 수익(매출액) 지역 국내 139,972,594 외국 아시아 32,682,420 유럽 14,498,598 아메리카 21,106,372 아프리카 130,031 기타 국가 3,233,228 지역 "
200880,(주)서연이화,2차 후보(확인 필요),라디에이터,"년소요 차량용 조명장치 '25.02.13 본 발명은 차량용 조명장치에 관한 것으로, 보다 상세하게는 차량의 라디에이터 그릴이나범퍼 등 차체의 다양한 위치에 적용되어 차량 외관의 심미성을 향상시킬 수 있는 차량용 조명장치에 관"
200880,(주)서연이화,2차 후보(확인 필요),유럽,"기업을 합하여 '연결회사')은 주요 해외거점에 생산공장을 보유하고 있으며, 주로 미국, 중국, 인도 그리고 유럽에서 제품을 판매하고 있습니다. 지배기업이 보유하고 있는 생산시설 현황은 다음과 같습니다. 소 재 지 생산개"
200880,(주)서연이화,2차 후보(확인 필요),유럽,": 천원) 구 분 외부고객으로부터의 수익 당기 전기 한국 1,201,609,290 1,103,571,509 유럽 704,820,973 702,379,312 중국 139,005,471 145,411,458 인도 592,4"
200880,(주)서연이화,2차 후보(확인 필요),유럽,"분 외부고객으로부터의 수익 당기 전기 한국 1,133,113,459,297 1,032,669,791,983 유럽 153,533,435,974 132,175,354,560 중국 18,972,235,992 11,862,89"
053060,(주)세동,2차 후보(확인 필요),유럽,"박막을 형성하는 기술을 개발하여, 도금이나 ETF 없이도 블랙 색상을 구현 ③ 알루미늄 롤 포밍 - 미국, 유럽, 일본 등 세계 각국에서 환경 문제가 이슈가 되어 자동차 산업에서도 연비향상의 목적으로 차량 경량화가 활발"
